date,confirmed,deaths,recovered,new_confirmed,new_deaths,new_recovered,new_confirmed_smooth,new_deaths_smooth,new_recovered_smooth
2020-01-25,2,0,0,0,0,0,0.7142857142857143,0.0,0.14285714285714285
2020-01-26,4,0,1,2,0,1,0.7142857142857143,0.0,0.14285714285714285
2020-01-27,4,0,1,0,0,0,1.2857142857142858,0.0,0.14285714285714285
2020-01-28,7,0,1,3,0,0,1.8571428571428572,0.0,0.14285714285714285
2020-01-29,7,0,1,0,0,0,2.5714285714285716,0.0,0.14285714285714285
2020-01-30,11,0,1,4,0,0,2.2857142857142856,0.0,0.0
2020-01-31,15,0,1,4,0,0,2.2857142857142856,0.0,0.0
2020-02-01,20,0,1,5,0,0,2.142857142857143,0.0,0.0
2020-02-02,20,0,1,0,0,0,2.2857142857142856,0.0,0.0
2020-02-03,20,0,1,0,0,0,1.7142857142857142,0.0,0.0
2020-02-04,22,0,1,2,0,0,1.1428571428571428,0.0,0.0
2020-02-05,23,0,1,1,0,0,0.5714285714285714,0.0,0.0
2020-02-06,23,0,1,0,0,0,0.5714285714285714,0.0,0.0
2020-02-07,23,0,1,0,0,0,0.8571428571428571,0.0,0.42857142857142855
2020-02-08,24,0,1,1,0,0,0.7142857142857143,0.0,1.1428571428571428
2020-02-09,24,0,1,0,0,0,0.7142857142857143,0.0,1.1428571428571428
2020-02-10,26,0,4,2,0,3,1.4285714285714286,0.14285714285714285,1.1428571428571428
2020-02-11,27,0,9,1,0,5,2.857142857142857,0.14285714285714285,1.1428571428571428
2020-02-12,28,0,9,1,0,0,4.285714285714286,0.14285714285714285,1.5714285714285714
2020-02-13,33,1,9,5,1,0,5.142857142857143,0.14285714285714285,1.5714285714285714
2020-02-14,43,1,9,10,0,0,5.857142857142857,0.14285714285714285,1.1428571428571428
2020-02-15,54,1,12,11,0,3,7.428571428571429,0.2857142857142857,0.5714285714285714
2020-02-16,60,1,12,6,0,0,8.142857142857142,0.2857142857142857,1.2857142857142858
2020-02-17,67,1,12,7,0,0,8.857142857142858,0.14285714285714285,1.2857142857142858
2020-02-18,79,2,13,12,1,1,9.857142857142858,0.14285714285714285,1.8571428571428572
2020-02-19,85,2,18,6,0,5,11.857142857142858,0.14285714285714285,1.4285714285714286
2020-02-20,95,2,18,10,0,0,12.714285714285714,0.14285714285714285,1.4285714285714286
2020-02-21,112,2,22,17,0,4,13.285714285714286,0.14285714285714285,1.4285714285714286
2020-02-22,137,2,22,25,0,0,13.428571428571429,0.14285714285714285,1.2857142857142858
2020-02-23,149,2,22,12,0,0,15.285714285714286,0.14285714285714285,0.5714285714285714
2020-02-24,160,2,22,11,0,0,17.571428571428573,0.2857142857142857,0.5714285714285714
2020-02-25,173,3,22,13,1,0,17.714285714285715,0.42857142857142855,0.0
2020-02-26,192,3,22,19,0,0,15.428571428571429,0.5714285714285714,1.4285714285714286
2020-02-27,218,4,22,26,1,0,15.714285714285714,0.5714285714285714,1.4285714285714286
2020-02-28,236,5,22,18,1,0,16.857142857142858,0.5714285714285714,1.4285714285714286
2020-02-29,245,6,32,9,1,10,17.857142857142858,0.42857142857142855,3.0
2020-03-01,259,6,32,14,0,0,20.142857142857142,0.5714285714285714,3.0
