date,actual_confirmed,predicted_confirmed,actual_recovered,predicted_recovered,actual_deaths,predicted_deaths
2022-08-06,215178.42857142855,174860.23,0.0,-1116.4075,182.28571428571428,533.0299
2022-08-07,215261.2857142857,176084.36,0.0,-1068.0576,194.0,561.4355
2022-08-08,215462.42857142855,177482.22,0.0,-1021.94476,200.42857142857144,586.9019
2022-08-09,206180.42857142855,178796.33,0.0,-978.866,199.8571428571429,611.00714
2022-08-10,199917.85714285716,179222.48,0.0,-946.2888,214.71428571428567,631.33777
2022-08-11,195906.42857142855,178865.27,0.0,-931.61584,214.8571428571429,648.773
2022-08-12,196005.57142857145,177562.14,0.0,-921.38727,222.57142857142856,660.89636
2022-08-13,189386.0,175984.28,0.0,-917.5078,226.57142857142856,670.21674
2022-08-14,186682.14285714287,173823.5,0.0,-910.5745,232.14285714285714,675.8255
2022-08-15,188878.7142857143,171424.6,0.0,-893.30524,243.7142857142857,677.57794
2022-08-16,202061.7142857143,169156.97,0.0,-861.27496,255.7142857142857,675.674
2022-08-17,211997.42857142855,168331.44,0.0,-810.391,255.42857142857144,675.8217
2022-08-18,218827.0,168943.83,0.0,-753.7771,265.85714285714283,679.5251
2022-08-19,219176.2857142857,170751.7,0.0,-697.0748,271.7142857142857,686.66754
2022-08-20,225222.2857142857,173271.02,0.0,-660.17145,277.0,696.46936
2022-08-21,226955.0,176303.95,0.0,-648.9008,278.57142857142856,708.06934
2022-08-22,222006.7142857143,179553.77,0.0,-658.9868,279.85714285714283,721.8876
2022-08-23,212198.7142857143,182248.03,0.0,-684.83514,283.7142857142857,736.2747
2022-08-24,201751.2857142857,183172.1,0.0,-718.95483,284.7142857142857,745.7949
2022-08-25,191981.0,183209.92,0.0,-766.6011,284.0,755.3233
2022-08-26,185539.42857142855,182224.95,0.0,-817.5817,282.42857142857144,764.7209
2022-08-27,177558.14285714287,180267.73,0.0,-864.88245,279.0,770.6631
2022-08-28,166989.2857142857,177184.9,0.0,-904.7489,284.2857142857143,770.5598
2022-08-29,156844.85714285713,173454.94,0.0,-938.3757,285.2857142857143,768.3716
2022-08-30,147964.7142857143,168779.53,0.0,-958.0391,289.42857142857144,760.5038
2022-08-31,139829.2857142857,163289.48,0.0,-967.41077,293.2857142857143,745.4772
2022-09-01,132695.42857142858,156802.27,0.0,-948.98834,292.57142857142856,720.5531
2022-09-02,128714.42857142858,149645.31,0.0,-900.0745,290.7142857142857,687.53674
2022-09-03,122937.14285714286,142395.88,0.0,-832.1211,290.85714285714283,649.9609
2022-09-04,117262.00000000001,135318.17,0.0,-753.2678,277.85714285714283,611.62085
2022-09-05,111906.14285714286,128203.99,0.0,-669.7106,267.0,570.822
2022-09-06,107514.28571428572,121158.41,0.0,-588.407,250.71428571428572,529.5088
2022-09-07,103169.57142857143,114302.72,0.0,-517.1282,239.2857142857143,489.4298
2022-09-08,99408.28571428572,107889.414,0.0,-456.94485,223.28571428571425,452.3433
2022-09-09,97247.42857142857,101864.71,0.0,-405.0498,212.42857142857144,417.88882
2022-09-10,93737.0,96279.35,0.0,-357.00916,198.14285714285717,385.769
2022-09-11,89515.14285714286,91092.47,0.0,-318.03522,189.14285714285717,354.62906
2022-09-12,85735.0,86498.08,0.0,-292.88977,181.14285714285717,325.3901
2022-09-13,82380.28571428571,82420.62,0.0,-276.09732,172.71428571428572,299.02646
2022-09-14,79273.42857142857,78947.72,0.0,-266.15582,162.71428571428572,275.3067
2022-09-15,76781.42857142857,75827.19,0.0,-258.13275,158.14285714285714,254.07454
