date,predicted
2023-03-07,10334.593
2023-03-08,10220.234
2023-03-09,10130.818
2023-03-10,10130.546
2023-03-11,10203.28
2023-03-12,10325.126
2023-03-13,10465.857
2023-03-14,10636.222
2023-03-15,10853.672
2023-03-16,11152.464
2023-03-17,11462.407
2023-03-18,11806.015
2023-03-19,12193.345
2023-03-20,12597.721
