date,new_confirmed,new_confirmed_smooth
2020-01-25,0,0.7142857142857143
2020-01-26,2,0.7142857142857143
2020-01-27,0,1.2857142857142858
2020-01-28,3,1.8571428571428572
2020-01-29,0,2.5714285714285716
2020-01-30,4,2.2857142857142856
2020-01-31,4,2.2857142857142856
2020-02-01,5,2.142857142857143
2020-02-02,0,2.2857142857142856
2020-02-03,0,1.7142857142857142
2020-02-04,2,1.1428571428571428
2020-02-05,1,0.5714285714285714
2020-02-06,0,0.5714285714285714
2020-02-07,0,0.8571428571428571
2020-02-08,1,0.7142857142857143
2020-02-09,0,0.7142857142857143
2020-02-10,2,1.4285714285714286
2020-02-11,1,2.857142857142857
2020-02-12,1,4.285714285714286
2020-02-13,5,5.142857142857143
2020-02-14,10,5.857142857142857
2020-02-15,11,7.428571428571429
2020-02-16,6,8.142857142857142
2020-02-17,7,8.857142857142858
2020-02-18,12,9.857142857142858
2020-02-19,6,11.857142857142858
2020-02-20,10,12.714285714285714
2020-02-21,17,13.285714285714286
2020-02-22,25,13.428571428571429
2020-02-23,12,15.285714285714286
2020-02-24,11,17.571428571428573
2020-02-25,13,17.714285714285715
2020-02-26,19,15.428571428571429
2020-02-27,26,15.714285714285714
2020-02-28,18,16.857142857142858
2020-02-29,9,17.857142857142858
2020-03-01,14,20.142857142857142
2020-03-02,19,21.0
2020-03-03,20,26.285714285714285
2020-03-04,35,31.571428571428573
2020-03-05,32,34.285714285714285
2020-03-06,55,35.57142857142857
2020-03-07,46,41.0
2020-03-08,33,43.857142857142854
2020-03-09,28,47.285714285714285
2020-03-10,58,44.714285714285715
2020-03-11,55,47.0
2020-03-12,56,46.714285714285715
2020-03-13,37,45.142857142857146
2020-03-14,62,44.0
2020-03-15,31,41.142857142857146
2020-03-16,17,38.857142857142854
2020-03-17,50,41.285714285714285
2020-03-18,35,37.714285714285715
2020-03-19,40,39.714285714285715
2020-03-20,54,43.0
2020-03-21,37,46.285714285714285
2020-03-22,45,55.142857142857146
2020-03-23,40,64.0
2020-03-24,73,72.57142857142857
2020-03-25,97,95.57142857142857
2020-03-26,102,114.71428571428571
2020-03-27,114,122.42857142857143
2020-03-28,198,148.28571428571428
2020-03-29,179,174.42857142857142
2020-03-30,94,200.28571428571428
2020-03-31,254,232.0
2020-04-01,280,256.7142857142857
2020-04-02,283,281.2857142857143
2020-04-03,336,301.2857142857143
2020-04-04,371,318.57142857142856
2020-04-05,351,355.0
2020-04-06,234,399.42857142857144
2020-04-07,375,442.2857142857143
2020-04-08,535,489.42857142857144
2020-04-09,594,513.8571428571429
2020-04-10,636,523.2857142857143
2020-04-11,701,541.7142857142857
2020-04-12,522,545.0
2020-04-13,300,540.5714285714286
2020-04-14,504,529.7142857142857
2020-04-15,558,513.8571428571429
2020-04-16,563,491.57142857142856
2020-04-17,560,497.85714285714283
2020-04-18,590,480.57142857142856
2020-04-19,366,457.42857142857144
2020-04-20,344,438.7142857142857
2020-04-21,383,413.7142857142857
2020-04-22,396,376.85714285714283
2020-04-23,432,355.85714285714283
2020-04-24,385,331.14285714285717
2020-04-25,332,317.0
2020-04-26,219,291.2857142857143
2020-04-27,171,259.2857142857143
2020-04-28,284,243.42857142857142
2020-04-29,216,239.28571428571428
2020-04-30,208,236.57142857142858
2020-05-01,274,236.14285714285714
