date,new_confirmed,new_confirmed_smooth
2020-01-25,0,0.42857142857142855
2020-01-26,1,0.42857142857142855
2020-01-27,1,0.42857142857142855
2020-01-28,0,1.2857142857142858
2020-01-29,0,1.4285714285714286
2020-01-30,0,1.7142857142857142
2020-01-31,7,1.5714285714285714
2020-02-01,1,1.7142857142857142
2020-02-02,3,2.142857142857143
2020-02-03,0,2.7142857142857144
2020-02-04,1,1.8571428571428572
2020-02-05,3,1.7142857142857142
2020-02-06,4,1.4285714285714286
2020-02-07,1,1.7142857142857142
2020-02-08,0,1.7142857142857142
2020-02-09,1,1.2857142857142858
2020-02-10,2,0.7142857142857143
2020-02-11,1,0.5714285714285714
2020-02-12,0,0.5714285714285714
2020-02-13,0,0.5714285714285714
2020-02-14,0,0.42857142857142855
2020-02-15,0,0.42857142857142855
2020-02-16,1,0.42857142857142855
2020-02-17,1,10.857142857142858
2020-02-18,1,25.142857142857142
2020-02-19,0,57.857142857142854
2020-02-20,73,81.85714285714286
2020-02-21,100,114.71428571428571
2020-02-22,229,135.14285714285714
2020-02-23,169,175.71428571428572
2020-02-24,231,237.42857142857142
2020-02-25,144,304.7142857142857
2020-02-26,284,388.14285714285717
2020-02-27,505,447.7142857142857
2020-02-28,571,500.2857142857143
2020-02-29,813,601.2857142857143
2020-03-01,586,622.8571428571429
2020-03-02,599,617.4285714285714
2020-03-03,851,608.0
2020-03-04,435,555.8571428571429
2020-03-05,467,511.14285714285717
2020-03-06,505,449.0
2020-03-07,448,332.42857142857144
2020-03-08,273,304.85714285714283
2020-03-09,164,254.42857142857142
2020-03-10,35,198.0
2020-03-11,242,149.28571428571428
2020-03-12,114,121.14285714285714
2020-03-13,110,108.28571428571429
2020-03-14,107,115.28571428571429
2020-03-15,76,94.0
2020-03-16,74,99.42857142857143
2020-03-17,84,96.14285714285714
2020-03-18,93,101.85714285714286
2020-03-19,152,114.14285714285714
2020-03-20,87,103.57142857142857
2020-03-21,147,102.42857142857143
2020-03-22,162,103.42857142857143
2020-03-23,0,96.57142857142857
2020-03-24,76,97.14285714285714
